index,d.log_time,d.temperature_A,d.temperature_B,d.humidity_A,d.humidity_B,d.photometric,d.CO2,d.soil_temperature,d.soil_humidity,d.soil_EC,d.soil_PH,d.outside_photometric,d.outside_temperature,d.outside_humidity,d.wind_speed,d.wind_direction,d.radiometric,d.rainfall_detect,d.rainfall,actuator01,actuator02,actuator03,actuator04,actuator05,actuator06,actuator07,actuator08,actuator09,actuator10,actuator11
0,2020/7/31 00:05,28.9,28.2,76.8,85.5,0,433,28.4,38.4,0.14,8.9,0,27.6,83.6,0,164,0,0,0,1,1,1,1,1,1,1,1,0,0,0
1,2020/7/31 00:10,28.9,28.2,77.4,85.4,0,432,28.4,38.4,0.14,8.9,0,27.4,83.2,0.7,286,0,0,0,1,1,1,1,1,1,1,1,0,0,0
2,2020/7/31 00:15,28.8,28.2,77.1,85.8,0,433,28.3,38.2,0.138,8.9,0,27.5,83.1,0.7,201,0,0,0,1,1,1,1,1,1,1,1,0,0,0
3,2020/7/31 00:20,28.8,28.2,77.4,85.1,0,433,28.3,38.4,0.142,9,0,27.5,83,1.3,169,0,0,0,1,1,1,1,1,1,1,1,0,0,0
4,2020/7/31 00:25,28.8,28.2,76.6,84.6,0,435,28.3,38.2,0.141,9,0,27.4,82.4,0.7,178,0,0,0,1,1,1,1,1,1,1,1,0,0,0
5,2020/7/31 00:30,28.7,28,76.8,85.1,0,437,28.2,38.2,0.139,9,0,27.4,82.8,0.9,97,0,0,0,1,1,1,1,1,1,1,1,0,0,0
6,2020/7/31 00:35,28.6,28.1,77.9,85.5,0,439,28.2,38.2,0.137,9,0,27.3,83,0,213,0,0,0,1,1,1,1,1,1,1,1,1,0,0
7,2020/7/31 00:40,28.5,28,76.8,84.5,0,441,28.1,38.2,0.139,8.9,0,27.3,82.3,0.9,141,0,0,0,1,1,1,1,1,1,1,1,1,0,0
8,2020/7/31 00:45,28.5,28,76.8,84.4,0,438,28.1,38.2,0.14,8.9,0,27.2,81.6,0,226,0,0,0,1,1,1,1,1,1,1,1,1,0,0
9,2020/7/31 00:50,28.5,27.9,76.5,84.6,0,440,28,38.2,0.137,8.9,0,27.4,81.5,1.5,203,0,0,0,1,1,1,1,1,1,1,1,0,0,0
10,2020/7/31 00:55,28.6,27.9,76.8,84.4,0,437,28,38.2,0.138,8.9,0,27.3,82.2,0,85,0,0,0,1,1,1,1,1,1,1,1,0,0,0
11,2020/7/31 01:00,28.5,27.8,76.5,84.7,0,437,27.9,38.2,0.139,9,0,27.2,82.6,1.5,71,0,0,0,1,1,1,1,1,1,1,1,0,0,0
12,2020/7/31 01:05,28.3,27.8,77.3,84.8,0,439,27.9,38,0.139,9,0,27.2,82,0.9,143,0,0,0,1,1,1,1,1,1,1,1,1,0,0
13,2020/7/31 01:10,28.3,27.8,76.8,84.8,0,442,27.8,38,0.138,9,0,27,81.9,0,234,0,0,0,1,1,1,1,1,1,1,1,1,0,0
14,2020/7/31 01:15,28.4,27.8,75.9,84.1,0,436,27.8,37.9,0.139,9,0,27.1,81.4,0,272,0,0,0,1,1,1,1,1,1,1,1,0,0,0
15,2020/7/31 01:20,28.4,27.8,76.2,84,0,436,27.7,37.9,0.138,9,0,27.2,81.7,0,241,0,0,0,1,1,1,1,1,1,1,1,0,0,0
16,2020/7/31 01:25,28.4,27.8,76.4,84,0,435,27.7,37.9,0.138,9,0,27.2,81.8,0,199,0,0,0,1,1,1,1,1,1,1,1,0,0,0
17,2020/7/31 01:30,28.4,27.8,76.1,84.5,0,434,27.7,37.9,0.137,9,0,27.1,81.8,0,169,0,0,0,1,1,1,1,1,1,1,1,0,0,0
18,2020/7/31 01:35,28.3,27.8,76.5,84.3,0,436,27.6,37.9,0.138,9,0,26.9,81.8,0,223,0,0,0,1,1,1,1,1,1,1,1,1,0,0
19,2020/7/31 01:40,28.2,27.7,76.9,84.4,0,438,27.6,37.9,0.135,9,0,27.1,82.1,0,87,0,0,0,1,1,1,1,1,1,1,1,1,0,0
20,2020/7/31 01:45,28.2,27.7,77.5,85,0,438,27.6,37.9,0.138,9,0,27,83.1,0,268,0,0,0,1,1,1,1,1,1,1,1,1,0,0
21,2020/7/31 01:50,28.2,27.7,77.5,84.9,0,440,27.5,37.9,0.137,9,0,27,82.7,0,345,0,0,0,1,1,1,1,1,1,1,1,0,0,0
22,2020/7/31 01:55,28.3,27.7,76.8,84.7,0,439,27.5,37.9,0.138,9,0,27.1,82,0,304,0,0,0,1,1,1,1,1,1,1,1,0,0,0
23,2020/7/31 02:00,28.3,27.8,76.9,84.5,0,440,27.5,37.9,0.135,9,0,27.3,82.2,0.7,324,0,0,0,1,1,1,1,1,1,1,1,0,0,0
24,2020/7/31 02:05,28.2,27.7,77.5,84.9,0,439,27.4,37.9,0.138,9,0,27.1,81.7,1.1,71,0,0,0,1,1,1,1,1,1,1,1,1,0,0
25,2020/7/31 02:10,28,27.5,78.4,85.7,0,450,27.4,37.9,0.138,9,0,27.2,81.8,0.9,10,0,0,0,1,1,1,1,1,1,1,1,1,0,0
26,2020/7/31 02:15,27.9,27.4,78.7,85.9,0,451,27.4,37.9,0.137,9,0,27.2,82.2,1.1,54,0,0,0,1,1,1,1,1,1,1,1,1,0,0
27,2020/7/31 02:20,27.9,27.4,78.7,85.9,0,449,27.3,37.9,0.135,8.9,0,27.2,82.4,1.1,22,0,0,0,1,1,1,1,1,1,1,1,0,0,0
28,2020/7/31 02:25,28,27.5,77.2,84.8,0,439,27.3,37.9,0.138,9,0,26.9,82.2,0,224,0,0,0,1,1,1,1,1,1,1,1,0,0,0
