,d.log_time,d.temperature_A,d.temperature_B,d.humidity_A,d.humidity_B,d.photometric,d.CO2,d.soil_temperature,d.soil_humidity,d.soil_EC,d.soil_PH,d.outside_photometric,d.outside_temperature,d.outside_humidity,d.wind_speed,d.wind_direction,d.radiometric,d.rainfall_detect,d.rainfall,actuator01,actuator02,actuator03,actuator04,actuator05,actuator06,actuator07,actuator08,actuator09,actuator10,actuator11
0,2020-07-31 00:05:00,28.9,28.2,76.8,85.5,0.0,433.0,28.4,38.4,0.14,8.9,0.0,27.6,83.6,0.0,164.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
1,2020-07-31 00:10:00,28.9,28.2,77.4,85.4,0.0,432.0,28.4,38.4,0.14,8.9,0.0,27.4,83.2,0.7,286.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
2,2020-07-31 00:15:00,28.8,28.2,77.1,85.8,0.0,433.0,28.3,38.2,0.138,8.9,0.0,27.5,83.1,0.7,201.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
3,2020-07-31 00:20:00,28.8,28.2,77.4,85.1,0.0,433.0,28.3,38.4,0.142,9.0,0.0,27.5,83.0,1.3,169.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
4,2020-07-31 00:25:00,28.8,28.2,76.6,84.6,0.0,435.0,28.3,38.2,0.141,9.0,0.0,27.4,82.4,0.7,178.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
5,2020-07-31 00:30:00,28.7,28.0,76.8,85.1,0.0,437.0,28.2,38.2,0.139,9.0,0.0,27.4,82.8,0.9,97.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
6,2020-07-31 00:35:00,28.6,28.1,77.9,85.5,0.0,439.0,28.2,38.2,0.13699999999999998,9.0,0.0,27.3,83.0,0.0,213.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
7,2020-07-31 00:40:00,28.5,28.0,76.8,84.5,0.0,441.0,28.1,38.2,0.139,8.9,0.0,27.3,82.3,0.9,141.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
8,2020-07-31 00:45:00,28.5,28.0,76.8,84.4,0.0,438.0,28.1,38.2,0.14,8.9,0.0,27.2,81.6,0.0,226.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
9,2020-07-31 00:50:00,28.5,27.9,76.5,84.6,0.0,440.0,28.0,38.2,0.13699999999999998,8.9,0.0,27.4,81.5,1.5,203.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
10,2020-07-31 00:55:00,28.6,27.9,76.8,84.4,0.0,437.0,28.0,38.2,0.138,8.9,0.0,27.3,82.2,0.0,85.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
11,2020-07-31 01:00:00,28.5,27.8,76.5,84.7,0.0,437.0,27.9,38.2,0.139,9.0,0.0,27.2,82.6,1.5,71.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
12,2020-07-31 01:05:00,28.3,27.8,77.3,84.8,0.0,439.0,27.9,38.0,0.139,9.0,0.0,27.2,82.0,0.9,143.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
13,2020-07-31 01:10:00,28.3,27.8,76.8,84.8,0.0,442.0,27.8,38.0,0.138,9.0,0.0,27.0,81.9,0.0,234.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
14,2020-07-31 01:15:00,28.4,27.8,75.9,84.1,0.0,436.0,27.8,37.9,0.139,9.0,0.0,27.1,81.4,0.0,272.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
15,2020-07-31 01:20:00,28.4,27.8,76.2,84.0,0.0,436.0,27.7,37.9,0.138,9.0,0.0,27.2,81.7,0.0,241.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
16,2020-07-31 01:25:00,28.4,27.8,76.4,84.0,0.0,435.0,27.7,37.9,0.138,9.0,0.0,27.2,81.8,0.0,199.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
17,2020-07-31 01:30:00,28.4,27.8,76.1,84.5,0.0,434.0,27.7,37.9,0.13699999999999998,9.0,0.0,27.1,81.8,0.0,169.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
18,2020-07-31 01:35:00,28.3,27.8,76.5,84.3,0.0,436.0,27.6,37.9,0.138,9.0,0.0,26.9,81.8,0.0,223.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
19,2020-07-31 01:40:00,28.2,27.7,76.9,84.4,0.0,438.0,27.6,37.9,0.135,9.0,0.0,27.1,82.1,0.0,87.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
20,2020-07-31 01:45:00,28.2,27.7,77.5,85.0,0.0,438.0,27.6,37.9,0.138,9.0,0.0,27.0,83.1,0.0,268.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
21,2020-07-31 01:50:00,28.2,27.7,77.5,84.9,0.0,440.0,27.5,37.9,0.13699999999999998,9.0,0.0,27.0,82.7,0.0,345.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
22,2020-07-31 01:55:00,28.3,27.7,76.8,84.7,0.0,439.0,27.5,37.9,0.138,9.0,0.0,27.1,82.0,0.0,304.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
23,2020-07-31 02:00:00,28.3,27.8,76.9,84.5,0.0,440.0,27.5,37.9,0.135,9.0,0.0,27.3,82.2,0.7,324.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
24,2020-07-31 02:05:00,28.2,27.7,77.5,84.9,0.0,439.0,27.4,37.9,0.138,9.0,0.0,27.1,81.7,1.1,71.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
25,2020-07-31 02:10:00,28.0,27.5,78.4,85.7,0.0,450.0,27.4,37.9,0.138,9.0,0.0,27.2,81.8,0.9,10.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
26,2020-07-31 02:15:00,27.9,27.4,78.7,85.9,0.0,451.0,27.4,37.9,0.13699999999999998,9.0,0.0,27.2,82.2,1.1,54.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
27,2020-07-31 02:20:00,27.9,27.4,78.7,85.9,0.0,449.0,27.3,37.9,0.135,8.9,0.0,27.2,82.4,1.1,22.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
28,2020-07-31 02:25:00,28.0,27.5,77.2,84.8,0.0,439.0,27.3,37.9,0.138,9.0,0.0,26.9,82.2,0.0,224.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
29,2020-07-31 02:30:00,28.1,27.6,77.0,84.2,0.0,435.0,27.3,37.9,0.136,9.0,0.0,26.9,81.5,0.0,274.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
30,2020-07-31 02:35:00,28.0,27.6,76.9,84.1,0.0,441.0,27.2,37.9,0.13699999999999998,9.0,0.0,27.1,81.2,0.9,201.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
31,2020-07-31 02:40:00,28.0,27.6,76.6,84.3,0.0,440.0,27.2,37.9,0.135,9.0,0.0,27.0,80.9,1.5,84.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
32,2020-07-31 02:45:00,28.0,27.6,76.6,83.9,0.0,441.0,27.1,37.9,0.135,8.9,0.0,26.9,80.6,0.0,195.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
33,2020-07-31 02:50:00,28.1,27.6,76.5,84.1,0.0,440.0,27.1,37.9,0.136,9.0,0.0,27.1,80.7,0.7,113.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
34,2020-07-31 02:55:00,28.2,27.7,76.1,83.5,0.0,440.0,27.1,37.9,0.136,9.0,0.0,27.0,80.6,0.7,166.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
35,2020-07-31 03:00:00,28.3,27.7,75.2,82.5,0.0,434.0,27.1,37.9,0.135,9.0,0.0,27.0,80.3,1.1,143.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
36,2020-07-31 03:05:00,28.3,27.6,75.7,83.5,0.0,438.0,27.0,37.9,0.13699999999999998,9.0,0.0,26.9,81.5,1.1,176.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
37,2020-07-31 03:10:00,28.2,27.6,76.7,84.2,0.0,446.0,27.0,37.9,0.13699999999999998,9.0,0.0,26.9,82.5,0.0,289.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
38,2020-07-31 03:15:00,28.0,27.5,77.2,84.5,0.0,451.0,27.0,37.9,0.135,9.0,0.0,26.8,82.3,0.9,161.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
39,2020-07-31 03:20:00,28.0,27.5,77.3,84.7,0.0,452.0,26.9,37.9,0.134,9.0,0.0,26.9,81.4,2.1,169.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
40,2020-07-31 03:25:00,28.1,27.5,76.0,83.9,0.0,447.0,26.9,37.9,0.135,9.0,0.0,27.0,81.3,0.9,152.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
41,2020-07-31 03:30:00,28.1,27.6,75.3,83.1,0.0,443.0,26.9,37.9,0.132,9.0,0.0,27.1,80.3,0.0,236.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
42,2020-07-31 03:35:00,28.1,27.6,75.2,83.1,0.0,443.0,26.9,37.9,0.133,9.0,0.0,27.1,79.5,1.1,144.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
43,2020-07-31 03:40:00,28.0,27.6,75.5,82.8,0.0,444.0,26.8,37.9,0.138,9.0,0.0,27.0,79.4,0.7,170.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,1,0
44,2020-07-31 03:45:00,28.0,27.5,76.0,83.3,0.0,443.0,26.8,37.9,0.135,8.9,0.0,27.1,79.9,0.7,95.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
45,2020-07-31 03:50:00,28.0,27.6,76.2,83.3,0.0,445.0,26.8,37.9,0.134,8.9,0.0,27.2,80.0,0.0,226.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
46,2020-07-31 03:55:00,28.2,27.7,75.6,82.9,0.0,446.0,26.8,37.9,0.134,8.9,0.0,27.1,79.9,1.3,145.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
47,2020-07-31 04:00:00,28.3,27.7,75.0,82.6,0.0,442.0,26.8,37.9,0.136,9.0,0.0,27.1,79.9,0.9,131.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
48,2020-07-31 04:05:00,28.2,27.6,74.9,82.6,0.0,445.0,26.7,37.9,0.134,9.0,0.0,27.1,80.1,1.1,104.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
49,2020-07-31 04:10:00,28.0,27.6,75.8,83.4,0.0,451.0,26.7,37.8,0.134,8.9,0.0,27.1,80.0,0.9,179.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
50,2020-07-31 04:15:00,27.9,27.5,76.0,83.2,0.0,453.0,26.7,37.9,0.133,8.9,0.0,27.1,79.9,0.0,167.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
51,2020-07-31 04:20:00,28.0,27.4,75.0,82.7,0.0,453.0,26.7,37.8,0.133,8.9,0.0,27.0,79.7,0.9,151.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
52,2020-07-31 04:25:00,28.1,27.4,74.4,82.5,0.0,450.0,26.7,37.9,0.132,8.9,0.0,26.9,79.4,0.9,53.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
53,2020-07-31 04:30:00,28.0,27.3,73.8,81.9,0.0,447.0,26.6,37.9,0.135,8.9,0.0,26.7,78.6,0.9,103.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
54,2020-07-31 04:35:00,27.9,27.3,73.9,81.7,0.0,448.0,26.6,37.9,0.135,8.9,0.0,27.1,78.0,1.1,83.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
55,2020-07-31 04:40:00,27.8,27.3,73.8,81.6,0.0,449.0,26.5,37.8,0.134,8.9,0.0,26.8,77.6,0.7,244.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
56,2020-07-31 04:45:00,27.8,27.3,73.9,81.0,0.0,448.0,26.5,37.9,0.133,8.9,0.0,26.9,77.3,0.0,203.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
57,2020-07-31 04:50:00,27.8,27.4,73.3,80.9,0.0,449.0,26.4,37.9,0.134,8.9,0.0,27.0,77.1,0.9,324.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
58,2020-07-31 04:55:00,27.9,27.4,72.7,80.4,0.0,447.0,26.4,37.9,0.133,8.9,0.0,27.0,76.9,1.5,93.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
59,2020-07-31 05:00:00,28.0,27.4,72.8,80.0,0.0,444.0,26.4,37.9,0.133,8.9,0.0,27.0,76.9,0.0,137.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
60,2020-07-31 05:05:00,28.0,27.4,72.6,80.2,0.0,444.0,26.4,37.9,0.131,8.9,0.0,26.9,77.4,0.9,126.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
61,2020-07-31 05:10:00,27.8,27.4,73.3,80.5,0.0,446.0,26.3,37.9,0.133,8.9,1.0,26.8,77.7,0.9,162.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
62,2020-07-31 05:15:00,27.8,27.4,73.3,80.6,11.0,445.0,26.3,37.9,0.133,8.9,10.0,26.9,77.9,1.1,110.0,0.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
63,2020-07-31 05:20:00,27.8,27.3,73.5,80.6,35.0,446.0,26.2,39.6,0.14400000000000002,8.9,33.0,26.9,77.9,1.1,247.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,0,1
64,2020-07-31 05:25:00,27.8,27.3,73.4,80.8,83.0,447.0,26.1,41.2,0.142,8.9,74.0,26.7,78.3,1.1,13.0,2.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
65,2020-07-31 05:30:00,27.8,27.3,73.4,80.9,155.0,452.0,26.1,39.9,0.14,8.9,132.0,26.9,78.1,0.9,100.0,3.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
66,2020-07-31 05:35:00,27.8,27.3,74.0,81.2,251.0,454.0,26.1,39.4,0.14,8.9,216.0,26.7,78.3,1.3,128.0,4.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
67,2020-07-31 05:40:00,27.7,27.2,74.0,81.4,346.0,456.0,26.1,39.0,0.14,8.9,301.0,26.8,78.5,1.1,86.0,5.0,0,0.0,1,1,1,1,1,1,1,1,1,1,0
68,2020-07-31 05:45:00,27.7,27.2,74.4,81.6,538.0,456.0,26.1,38.8,0.13699999999999998,8.9,494.0,26.7,78.5,0.7,147.0,20.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
69,2020-07-31 05:50:00,27.7,27.2,74.1,81.6,836.0,456.0,26.1,38.8,0.139,8.9,751.0,26.8,78.7,0.0,186.0,44.0,0,0.0,1,1,1,1,1,1,1,1,0,0,1
70,2020-07-31 05:55:00,27.9,27.3,73.8,81.8,1183.0,455.0,26.1,42.6,0.147,8.9,1026.0,26.5,78.7,0.0,285.0,64.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
71,2020-07-31 06:00:00,28.0,27.4,72.8,81.2,1458.0,454.0,26.1,40.8,0.14300000000000002,9.0,1235.0,27.0,78.2,0.0,266.0,77.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
72,2020-07-31 06:05:00,28.0,27.5,72.8,80.3,1805.0,447.0,26.1,39.9,0.141,9.0,1515.0,27.2,76.8,1.3,58.0,91.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
73,2020-07-31 06:10:00,28.0,27.6,72.5,79.9,2092.0,450.0,26.1,39.4,0.139,8.9,1693.0,27.1,76.4,0.9,145.0,103.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
74,2020-07-31 06:15:00,28.1,27.6,72.2,79.5,2427.0,445.0,26.1,39.0,0.139,8.9,1847.0,27.4,75.7,0.9,123.0,115.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
75,2020-07-31 06:20:00,28.3,27.7,72.1,79.2,2761.0,450.0,26.2,39.6,0.14300000000000002,8.9,1969.0,27.5,75.4,1.1,310.0,129.0,0,0.0,1,1,1,1,1,1,1,1,0,0,1
76,2020-07-31 06:25:00,28.5,27.9,71.0,78.8,3562.0,446.0,26.2,42.6,0.15,8.9,2446.0,27.7,74.6,0.9,211.0,202.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
77,2020-07-31 06:30:00,28.7,28.2,69.5,77.2,4363.0,447.0,26.3,40.8,0.14300000000000002,9.0,2750.0,28.2,72.4,1.3,70.0,224.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
78,2020-07-31 06:35:00,28.8,28.2,69.2,77.4,3443.0,444.0,26.3,39.9,0.141,8.9,2280.0,28.0,72.5,1.1,215.0,182.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
79,2020-07-31 06:40:00,28.6,28.1,70.0,77.9,3897.0,448.0,26.4,39.4,0.141,8.9,2515.0,28.0,73.4,0.7,329.0,207.0,0,0.0,1,1,1,1,1,1,1,1,1,1,0
80,2020-07-31 06:45:00,28.6,28.4,70.0,76.6,5918.0,447.0,26.4,39.1,0.13699999999999998,8.9,3742.0,28.4,71.5,2.5,148.0,256.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
81,2020-07-31 06:50:00,29.0,29.0,68.8,74.7,5858.0,446.0,26.4,39.1,0.139,8.9,4240.0,29.4,68.0,1.7,132.0,248.0,0,0.0,1,1,1,1,1,1,1,1,0,0,1
82,2020-07-31 06:55:00,29.7,29.4,67.2,73.4,9325.0,446.0,26.6,42.7,0.15,8.9,6122.0,30.1,65.9,1.5,253.0,300.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
83,2020-07-31 07:00:00,30.6,30.4,63.8,69.8,10545.0,441.0,26.7,40.9,0.14400000000000002,9.0,6901.0,31.6,60.6,0.0,270.0,319.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
84,2020-07-31 07:05:00,31.2,30.9,62.3,68.4,10736.0,440.0,26.8,40.2,0.14,9.0,7109.0,31.9,59.3,2.1,204.0,317.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
85,2020-07-31 07:10:00,31.0,30.8,62.8,69.1,13725.0,439.0,26.9,39.6,0.138,9.0,7618.0,32.2,59.3,1.1,189.0,341.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
86,2020-07-31 07:15:00,30.9,31.5,63.2,67.2,11489.0,442.0,27.0,39.6,0.139,9.0,8090.0,32.8,58.1,1.7,326.0,370.0,0,0.0,1,1,1,1,1,1,1,1,1,0,0
87,2020-07-31 07:20:00,31.3,31.9,62.1,65.9,12207.0,436.0,27.1,41.0,0.147,8.9,8579.0,32.7,57.8,1.1,92.0,383.0,0,0.0,1,1,1,1,1,1,1,1,0,0,1
88,2020-07-31 07:25:00,32.2,32.1,60.0,65.5,14000.0,437.0,27.5,42.0,0.14400000000000002,8.9,8779.0,33.2,55.9,0.9,293.0,395.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
89,2020-07-31 07:30:00,33.0,32.8,57.8,63.8,14717.0,434.0,27.7,40.8,0.141,8.9,9155.0,33.4,55.6,1.3,37.0,422.0,0,0.0,1,1,1,1,1,1,1,1,0,0,0
